model,repeat,fold,roc_auc,pr_auc,f1,balanced_accuracy,threshold
logreg_l2,0,0,1.0,1.0,0.9401709401709402,0.9435483870967742,0.9705477356910706
logreg_l2,0,1,1.0,1.0,0.9107142857142857,0.9180327868852459,0.9794188737869263
logreg_l2,0,2,1.0,1.0,0.9217391304347826,0.9274193548387097,0.9755521416664124
logreg_l2,0,3,0.9901639344262295,0.9992108282890331,0.8598130841121495,0.8770491803278688,0.9919300675392151
logreg_l2,0,4,0.8327868852459017,0.9722538435581081,0.9752066115702479,0.8836065573770492,0.9399218559265137
logreg_l2,1,0,1.0,1.0,0.9217391304347826,0.9274193548387097,0.9832577109336853
logreg_l2,1,1,0.8870967741935484,0.9906212179888885,0.9411764705882353,0.8266129032258065,0.9697147011756897
logreg_l2,1,2,1.0,1.0,0.9917355371900827,0.9918032786885246,0.9639602899551392
logreg_l2,1,3,1.0,1.0,0.8909090909090909,0.9016393442622951,0.9842923879623413
logreg_l2,1,4,0.9901639344262295,0.9992315573770492,0.8807339449541285,0.8934426229508197,0.9910095930099487
logreg_l2,2,0,1.0,1.0,0.8828828828828829,0.8951612903225806,0.9858865737915039
logreg_l2,2,1,0.8950819672131148,0.9896827921689253,0.9122807017543859,0.8262295081967213,0.9877798557281494
logreg_l2,2,2,1.0,1.0,0.9107142857142857,0.9180327868852459,0.9906648397445679
logreg_l2,2,3,1.0,1.0,0.9203539823008849,0.9262295081967213,0.9866785407066345
logreg_l2,2,4,1.0,1.0,0.9666666666666667,0.967741935483871,0.9716036319732666
logreg_l2,3,0,1.0,1.0,0.9391304347826087,0.9426229508196722,0.9825949668884277
logreg_l2,3,1,0.9934426229508196,0.9994795732500651,0.9107142857142857,0.9180327868852459,0.9813264608383179
logreg_l2,3,2,0.8346774193548387,0.9837201390847433,0.9322033898305084,0.8185483870967742,0.9829809665679932
logreg_l2,3,3,1.0,1.0,0.8598130841121495,0.8770491803278688,0.9865917563438416
logreg_l2,3,4,1.0,1.0,0.9401709401709402,0.9435483870967742,0.9728306531906128
logreg_l2,4,0,1.0,1.0,0.9752066115702479,0.9758064516129032,0.9281828999519348
logreg_l2,4,1,1.0,1.0,0.8155339805825242,0.8442622950819672,0.9935963153839111
logreg_l2,4,2,0.8225806451612903,0.9815176898275957,0.9230769230769231,0.810483870967742,0.9780844449996948
logreg_l2,4,3,0.9967213114754099,0.9997355896351137,0.9391304347826087,0.9426229508196722,0.9822102785110474
logreg_l2,4,4,1.0,1.0,0.9107142857142857,0.9180327868852459,0.9710782766342163
logreg_l1,0,0,1.0,1.0,0.9752066115702479,0.9758064516129032,0.7336280345916748
logreg_l1,0,1,1.0,1.0,0.9661016949152542,0.9672131147540983,0.7515219449996948
logreg_l1,0,2,0.9959677419354839,0.9997439836149513,0.9752066115702479,0.9758064516129032,0.6951442956924438
logreg_l1,0,3,0.9934426229508198,0.9994668446740818,0.9572649572649573,0.959016393442623,0.7465934753417969
logreg_l1,0,4,0.8229508196721312,0.9673026927053179,0.9752066115702479,0.8836065573770492,0.7023855447769165
logreg_l1,1,0,1.0,1.0,0.957983193277311,0.9596774193548387,0.7518901228904724
logreg_l1,1,1,0.7661290322580645,0.9605656037036704,0.9672131147540983,0.8508064516129032,0.6519435048103333
logreg_l1,1,2,1.0,1.0,0.9917355371900827,0.9918032786885246,0.687183141708374
logreg_l1,1,3,1.0,1.0,0.9203539823008849,0.9262295081967213,0.7443316578865051
logreg_l1,1,4,0.9901639344262295,0.9992315573770492,0.9572649572649573,0.959016393442623,0.6651015281677246
logreg_l1,2,0,1.0,1.0,0.957983193277311,0.9596774193548387,0.6575084328651428
